en_core_web_sm,fr_core_news_sm
i am surprised to learn this .,je suis surpris de l apprendre .
you re very generous .,vous etes fort genereuses .
he is a physicist .,c est un physicien .
you re loaded .,t es pleine de fric .
i m your boyfriend aren t i ?,je suis ton jules n est ce pas ?
i m willing to help you if you want me to .,je suis prete a t aider si tu veux que je le fasse .
he is intelligent .,il est intelligent .
i m going to have to cancel my appointment .,je vais devoir annuler mon rendez vous .
i m already quite busy .,je suis deja bien occupe .
i m used to the climate here .,je suis habitue au climat d ici .
i m not very likely to be arrested for doing that .,il est tres peu probable que je sois arretee pour avoir fait ca .
i m sure my parents won t let me go by myself .,je suis certaine que mes parents ne me laisseront pas aller seule .
you re a real pain .,tu es vraiment penible .
we re safe in here aren t we ?,nous sommes en securite ici n est ce pas ?
he is one of the best brains in our country .,c est l un des meilleurs cerveaux du pays .
i am ashamed of having been rude to her .,j ai honte d avoir ete grossier a son egard .
i m used to eating alone .,je suis habituee a manger seule .
they are my friends .,ce sont mes amies .
you re generous .,vous etes genereuse .
you re one of the stingiest people i know .,vous etes une des personnes les plus avares que je connaisse .
you re perfect at everything .,tu es parfaite a tout .
i m sorry but we re out of stock .,je suis desole mais nous sommes en rupture de stock .
i m creative .,je suis creative .
you re standing in my way .,tu te tiens sur ma route .
i am yours and you are mine .,je suis votre et vous etes mien .
he s got a rap sheet as long as my arm .,il a un casier aussi long que mon bras .
she is certain to be surprised .,elle est assuree d etre surprise .
she s fixing the machine .,elle est en train de reparer la machine .
we re shocked .,nous sommes choques .
i m used to working hard .,je suis habituee a travailler dur .
i m happy to have a job .,je suis content d avoir un emploi .
he is no friend of mine .,il ne compte pas au nombre de mes amis .
you re objective .,vous etes objectif .
i m starting to see what you mean .,je commence a voir ce que tu veux dire .
you re immoral .,vous etes immoral .
i am telling a story .,je conte une histoire .
you re doing the right thing .,tu fais la bonne chose .
she s open minded .,elle a l esprit ouvert .
he s fresh out of college .,il vient de sortir de l universite .
she s busy .,elle est occupee .
we re overreacting .,nous sur reagissons .
i m looking forward to seeing him .,je me rejouis de le voir .
i m aware of the danger .,je suis conscient du danger .
i am badly in need of your help .,j ai vraiment besoin de ton aide .
i m at my place .,je suis chez moi .
we re both here for the same reason .,nous sommes toutes les deux ici pour la meme raison .
i am sure that he will become a great singer .,je suis sur qu il deviendra un grand chanteur .
i m really busy today otherwise i would accept .,je suis vraiment occupe aujourd hui sans quoi j accepterais .
you re pretty good .,vous etes plutot bons .
you re not answering me .,vous ne me repondez pas .
i m going to tell tom that .,je vais dire ca a tom .
he is likely to win the game .,il a des chances de gagner le jeu .
you re shivering .,tu trembles .
you re not fired .,vous n etes pas viree .
i m looking forward to the return of spring .,j attends avec impatience le retour du printemps .
i m sure you don t want to do that .,je suis certain que ce n est pas la ce que tu veux faire .
we re certain .,nous sommes certains .
you re no saint .,tu n es pas un saint .
you re not supposed to be smoking in here .,vous n etes pas censees fumer ici .
i m sorry to bother you but we ve got a small problem .,je suis desole de vous ennuyer mais nous avons un petit probleme .
i m sure we ll be able to manage that .,je suis sure que nous serons capables de gerer ca .
i am expecting a letter from her .,j attends une lettre de sa part .
she is proud of her son .,elle est fiere de son fils .
they aren t afraid of death .,ils n ont pas peur de la mort .
i m not worried .,je ne me fais pas de souci .
he is always on time for an appointment .,il est toujours a l heure a un rendez vous .
you are such a sweetheart .,vous etes tellement adorable !
you re very brave .,tu es tres brave .
you re a child .,tu es un enfant .
i m needed here .,on a besoin de moi ici .
i m tired of being sick .,je suis fatigue d etre malade .
i m not on call tomorrow .,je ne suis pas de garde demain .
you re all happy .,vous etes toutes satisfaites .
he is very friendly to us .,il est tres amical avec nous .
you re correct .,tu as raison .
you re finicky .,tu es tatillonne .
they re dying .,ils sont en train de mourir .
you re talkative .,vous etes bavard .
i m looking forward to seeing you next sunday .,je me rejouis de te voir dimanche prochain .
i m wondering what i should do next .,je me demande ce que je devrais faire ensuite .
we re going to be working late .,nous allons travailler tard .
you re not guilty .,vous n etes pas coupable .
you re late .,tu es en retard .
i m tom s neighbor .,je suis le voisin de tom .
i am accustomed to eating this sort of food .,j ai l habitude de manger ce type de nourriture .
i m going to get you out of there .,je vais te sortir de la .
i m open minded .,je suis ouvert d esprit .
we re tired of this .,on en a marre .
i m happy to see you in one piece .,heureuse de te voir en un seul morceau !
he isn t afraid to die .,il ne craint pas de mourir .
i m usually in pretty good shape but now i m a little overweight .,je suis habituellement en assez bonne forme mais je suis actuellement en leger surpoids .
we are looking forward to seeing you soon .,nous sommes impatients de vous voir .
i am the fastest runner .,je suis le coureur le plus rapide .
i am lost . can you help me please ?,je suis perdu pouvez vous m aider s il vous plait ?
we re having a party friday evening .,on fait une fete vendredi soir .
i m no fool .,je ne suis pas une idiote .
i m reporting for duty .,au rapport .
they are great friends .,ils sont de grands amis .
i m in fair shape .,je suis en assez bonne forme .
i m eating here .,je mange ici .
you re right on time .,tu es pile a l heure .
i m very proud of my father .,je suis tres fier de mon pere .
they re so funny .,ils sont si droles .
i m much younger than you .,je suis beaucoup plus jeune que vous .
you re very understanding .,vous etes fort comprehensives .
you re not to leave this room .,tu ne dois pas quitter cette piece .
they re all lying .,ils mentent tous .
i m really disappointed in you tom .,tu me decois vraiment tom .
you re alone aren t you ?,tu es seul n est ce pas ?
i m a perfectionist .,je suis perfectionniste .
i m sick of hospitals .,je suis fatigue des hopitaux .
i m sorry that i ve made you so unhappy .,je suis desolee de t avoir rendue si malheureuse .
we re here now .,nous y sommes actuellement .
he s in prison .,il est en prison .
i m a little confused .,je suis un peu perplexe .
i m not joking .,serieux !
we re out of stock .,nous n en avons plus en stock .
they re probably americans .,ils sont probablement etasuniens .
you re spoiling the mood .,tu gaches l atmosphere .
you re very open .,vous etes tres ouvertes .
he s your father .,il est ton pere .
we re making a big mistake .,nous faisons une grosse erreur .
you re not being fair .,tu n es pas juste .
i m afraid you have the wrong number .,j ai bien peur que vous n ayez un mauvais numero .
i m glad to see you .,je suis heureux de vous voir .
i m a girl .,je suis une fille .
i m glad you liked my friends .,je suis heureux que tu aimes mes amis .
i m willing to help you if you want me to .,je suis disposee a vous aider si vous voulez que je le fasse .
you are a good person .,tu es un mec bien .
he isn t alone anymore .,il n est plus seul .
i m a geologist .,je suis geologue .
they re not coming .,elles ne viennent pas .
i m feeling kind of sleepy .,j ai un peu sommeil .
we re finding it difficult deciding on which one to buy .,nous trouvons qu il est difficile de decider lequel acheter .
you re drunk .,vous etes saouls .
i m glad you enjoyed it .,je suis heureux que tu aies apprecie .
i m surprised they didn t have anything to do .,je suis surprise qu ils n aient eu quoi que ce soit a faire .
he s going bald .,il devient chauve .
he is out now .,il est actuellement sorti .
i m starved .,j ai les crocs .
you re nervous .,vous etes nerveuse .
you re nervous .,vous etes nerveux .
i m sure you ll find a good job .,je suis sur que tu trouveras un bon travail .
i m untalented .,je suis depourvue de talent .
she is wearing a valuable ring .,elle porte une bague de prix .
she is in bed with a cold .,elle est au lit enrhumee .
i m beginning to smell a rat .,je commence a sentir que quelque chose ne va pas .
they re talking .,elles parlent .
you re too tall .,vous etes trop grand .
we re all trying to get somewhere .,nous essayons tous de nous rendre quelque part .
you re too slow .,tu es trop lent .
i m sure that we can manage that .,je suis sur que nous pouvons gerer ca .
i m not kidding .,serieux !
he s a little taller than you are .,il est un peu plus grand que vous .
we re your friends .,nous sommes tes amies .
she is a gifted artist .,elle est une artiste nee .
i am suffering from a bad cold .,je souffre d un mauvais rhume .
you re not helping me .,vous ne m aidez pas .
we re twins .,nous sommes jumeaux .
he is pleased with his work .,son travail lui plait .
i m going to teach you a lesson .,je vais te donner une lecon .
she is not a nurse but a doctor .,elle n est pas infirmiere mais docteur .
i am short of money .,je manque d argent .
you re repeating yourself .,tu radotes .
they are having a chat .,elles parlent .
i m a cat person .,j aime les chats .
i m in the bathroom .,je suis dans la salle de bains .
i m pretty sure i didn t say that .,je suis plutot sure que je n ai pas dit ca .
you re impulsive .,tu es impulsif .
we re trying to close the box .,nous sommes en train d essayer de fermer la boite .
we re all different .,nous sommes tous differents .
we re not friends anymore .,nous ne sommes plus amies .
i m kind of sick today .,je suis un peu malade aujourd hui .
i m ready to do anything for you .,je suis prete a tout faire pour vous .
you re experienced .,vous etes experimente .
you re very courageous .,vous etes fort courageuse .
you are very fortunate that you have such friends .,tu as beaucoup de chance d avoir de tels amis .
he s too trusting .,il est trop confiant .
i m not your maid .,je ne suis pas ta servante .
you are fabulous .,tu es fabuleuse .
i m sure tom did his best .,je suis sure que tom a fait de son mieux .
he s the one who touched me .,c est celui qui m a tripotee .
we are a family .,nous sommes une famille .
i m planning to disguise myself as a doctor .,je prevois de me deguiser comme medecin .
they re excellent .,ils sont excellents .
he is not wearing a hat .,il ne porte pas de chapeau .
you re always complaining .,vous vous plaignez toujours .
i m not ready to do that .,je ne suis pas prete a faire cela .
she is a chatterbox .,c est un moulin a parole .
i m sure my parents won t let me go by myself .,je suis certain que mes parents ne me laisseront pas aller seul .
i m beginning to get curious .,je commence a devenir curieux .
i m going to wait for you .,je vais vous attendre .
you re very skeptical .,tu es tres sceptique .
i m on crutches for the next month .,je suis en bequilles pour un mois .
i m fascinated .,je suis fascine .
he is completely absorbed in his business .,il est completement absorbe par ses affaires .
you re not late .,vous n etes pas en retard .
i m strong enough .,je suis assez fort .
i m not refuting that .,je ne le refute pas .
i m being sincere when i say that i love you .,je suis sincere quand je te dis que je t aime .
you re temperamental .,vous etes fantasques .
i m breaking in my new shoes .,je casse mes nouvelles chaussures .
you re excused .,tu es excusee .
she s a tough one .,c est une coriace .
we re very excited about that .,nous sommes tres excites a ce propos .
i m hungry . i want to eat something .,j ai faim . je veux manger quelque chose .
you re my guests .,vous etes mes invites .
you re very astute .,vous etes fort astucieuses .
i m in way over my head .,je perds la tete .
you re creative .,vous etes creatifs .
you are under oath .,tu es sous serment .
he s just arrived .,il vient d arriver .
i m sure i can persuade tom .,je suis sure de pouvoir persuader tom .
he s aware of his own faults .,il est conscient de ses defauts .
they re all college students .,ce sont toutes des etudiantes de la fac .
i m sorry i couldn t write to you sooner .,je suis desole de n avoir pas pu t ecrire plus tot .
i m sure that s not true .,je suis sure que ce n est pas vrai .
they re quiet .,ils sont tranquilles .
they are well off .,ils menent une vie aisee .
i am leaving japan tomorrow morning .,je quitte le japon demain matin .
we re not going to do anything crazy .,on ne va rien faire de fou .
i m too busy to help tom .,je suis trop occupe pour aider tom .
you re not going fast enough .,vous n allez pas assez vite .
we re dozing off .,nous nous endormons .
you re not my friend anymore .,vous n etes plus mon amie .
i m not wearing any underwear .,je ne porte aucun sous vetement .
i m beginning to think that i shouldn t have enlisted in the army .,je commence a penser que je n aurais pas du m enroler dans l armee .
i m not feeling well and would like to stay home today .,je ne me sens pas bien et j aimerais rester a la maison aujourd hui .
they re too fat .,elles sont trop grasses .
we re going hunting .,nous allons a la chasse .
i am out of work .,je suis sans travail .
i m going to buy tom something .,je vais acheter quelque chose a tom .
i m going to see him tomorrow .,je vais le voir demain .
i m glad i was able to meet you yesterday .,je suis content d avoir pu vous rencontrer hier .
he is a clever boy .,c est un garcon intelligent .
he is still having doubts .,il a encore des doutes .
i am going down the stairs .,je descends l escalier .
i m very busy these days .,je suis tres occupe ces temps ci !
they are going to give a party the day after tomorrow .,ils vont faire une fete apres demain .
he s a historian .,il est historien .
he s got what it takes to make it in the business world .,il a ce qu il faut pour reussir dans le monde des affaires .
i m going to send tom some money .,je vais envoyer de l argent a tom .
i m a little disappointed .,je suis un peu decue .
they re behind us .,elles sont derriere nous .
i m sure you ll do very well .,je suis sure que tu t en sortiras tres bien .
i m going to put them in a room and let them battle it out .,je vais les mettre dans une piece et les laisser se la disputer .
i m a nice guy .,je suis quelqu un de bien .
i am bored out of my mind .,je m ennuie tellement .
i m hearing that a lot lately .,j entends beaucoup ca ces derniers temps .
we re trying to work .,nous essayons de travailler .
i m glad you asked that question .,je suis contente que vous ayez pose cette question .
you re disgusting .,tu es degoutant .
i m going to go sit in my car .,je vais aller m asseoir dans ma voiture .
you re involved .,vous etes impliquee .
i m lost .,je suis paume .
i m sure everything s ok .,je suis sur que tout va bien .
you re very timid .,vous etes fort craintives .
i m sloshed .,je suis bourree .
he s done this before .,il l a fait auparavant .
we re expecting tom any minute now .,nous attendons tom d une minute a l autre maintenant .
i m going to be your teacher .,je serai ton maitre .
i m sorry for everything i ve done to you .,je suis desolee pour tout ce que je vous ai cause .
he is the chosen one .,il est l elu .
she is not herself today .,elle n est pas elle meme aujourd hui .
we re all after the same thing .,nous sommes tous apres la meme chose .
you re sitting in my seat .,vous etes assises dans mon siege .
i m afraid we won t be able to help you tomorrow .,je crains que nous ne soyons pas en mesure de vous aider demain .
i m not leaving without you .,je ne pars pas sans toi .
they re smiling at each other .,ils se sourient .
i m no saint .,je ne suis pas un saint .
i am loved by my mother .,ma mere m aime .
i m available now .,je suis disponible maintenant .
i m not buying it .,je ne gobe pas ca .
she s my daughter .,c est ma fille .
i m sick of this hot weather .,je suis fatigue de ce temps chaud .
you re going to laugh .,tu vas rire .
i m not going to call tom .,je ne vais pas appeler tom .
she s innocent .,elle est innocente .
he is considered the prime suspect by the police .,il est considere comme le suspect numero un par la police .
she is wearing an expensive necklace .,elle porte un collier de prix .
he s a university student .,c est un etudiant de l universite .
he is working hard in order to pass the entrance examination .,il travaille dur afin de reussir l examen d entree .
i m making a snowman .,je fais un bonhomme de neige .
we re all thinking the same thing i m sure .,nous pensons tous la meme chose j en suis sur .
i m indeed grateful to be able to do this .,je suis vraiment reconnaissant d etre en mesure de le faire .
i m not completely naive .,je ne suis pas completement naive .
i m not your brother .,je ne suis pas ton frere .
you re just tired .,tu es juste fatigue .
you re very direct .,tu es tres directe .
he is over kilos .,il fait plus de kilos .
you re unforgettable .,vous etes inoubliables .
we re apt to make mistakes .,nous avons une propension a commettre des erreurs .
they re mine .,ils sont miens .
i m not even tired .,je ne suis meme pas fatiguee .
we re doing everything we can to find your son .,nous faisons tout ce que nous pouvons pour retrouver votre fils .
i am in trouble .,je suis dans le petrin .
we re not all teachers .,nous ne sommes pas toutes enseignantes .
i m tired of eating the same food every day .,j en ai assez de manger la meme nourriture tous les jours .
he s not the brightest guy in the world .,ce n est pas le type le plus brillant au monde .
i m glad you didn t do it .,je suis heureuse que vous ne l ayez pas fait .
he s nervous and easily frightened .,il est nerveux et facilement effraye .
i m sorry to have bothered you .,je suis desolee de t avoir derangee !
i m astonished .,je suis stupefaite .
they re taking mary to the emergency room .,ils emmenent marie a la salle des urgences .
she is making dinner .,elle prepare le diner .
i m asking you both to try again .,je vous demande tous les deux de reessayer .
you re grumpy .,vous etes bougon .
she is hostile to me .,elle m est hostile .
we re cousins .,on est cousins .
i m so happy .,je suis si heureux .
he s tall and slim .,il est grand et mince .
she s the perfect housewife .,c est une femme d interieur accomplie .
i m very happy to see you again .,je suis tres heureuse de te revoir .
we re one of the best teams in the world .,nous sommes l une des meilleures equipes au monde .
he s an englishman but lives in india .,il est anglais mais vit en inde .
i m sleepy so i m leaving now .,j ai sommeil alors je pars maintenant .
they re eating apples .,ils mangent des pommes .
i m a total wreck .,je suis une vraie loque .
i am baffled .,je suis confuse .
you re a bit shorter than i am .,vous etes un peu plus petit que moi .
you re the one who trained me .,c est toi qui m as entraine .
they re hoping the wheat harvest will be good this year .,ils esperent que la recolte de ble sera bonne cette annee .
you re always saying that .,vous dites toujours cela .
i m afraid of losing you .,j ai peur de vous perdre .
i m quite serious .,je suis tres serieuse .
i m sorry but i already have a girlfriend .,je suis desole mais j ai deja une petite amie .
i m sick and tired of all this bickering .,je n en peux plus de toutes ces disputes .
i m going to see him tomorrow .,je le verrai demain .
she is devoted to her husband .,elle est totalement devouee a son mari .
i m not done with you yet .,je n en ai pas encore fini avec vous .
i am starting the year as sick as a dog .,j inaugure l annee avec la creve .
we re speechless .,nous sommes sans voix .
i m glad to see you here .,je suis contente de te voir ici .
she is very popular among the boys .,elle a beaucoup de succes aupres des garcons .
i m fed up with this weather .,j en ai marre de ce temps .
he isn t afraid of death .,il n a pas peur de la mort .
i m not as stupid as you think i am .,je ne suis pas aussi bete que vous le pensez .
i m not sure i agree .,je ne suis pas sur d etre d accord .
you are always complaining .,tu as toujours a te plaindre .
we re fine .,nous allons bien .
i m sleeping .,je suis en train de dormir .
i m willing to help you if you want me to .,je suis pret a vous aider si vous voulez que je le fasse .
i m not embarrassed at all .,je ne suis pas du tout embarrasse .
she is really a good girl .,c est vraiment une bonne fille .
they re up to no good .,ils vont faire des conneries .
you re nothing but a coward .,vous n etes qu un lache .
i m staying over at my friend s place .,je passe la nuit chez mon ami .
we are going to the movies . come with us .,nous allons au cine viens donc avec nous !
he s a singer that s loved by everyone .,c est un chanteur aime de tous .
i m going bald .,je deviens chauve .
he is not the shy boy he used to be .,il n est plus le garcon timide qu il etait .
i m not the least bit worried about losing my job .,je ne suis pas inquiet de perdre mon travail .
he is twice as old as she is .,il est deux fois plus vieux qu elle .
he is outgoing .,il est ouvert .
you re too critical of others shortcomings .,vous etes trop critique des defauts des autres .
they are about to start .,ils sont sur le point de commencer .
i am looking forward to seeing you .,je suis impatient de vous rencontrer .
you re the teacher .,c est toi l institutrice .
i m going crazy .,je deviens folle .
i m about the same height as tom .,je fais a peu pres la meme taille que tom .
she isn t fit for the job .,elle n est pas apte pour le poste .
he s as strong as a horse .,il est fort comme un cheval .
i m ready to leave .,je suis pret a partir .
i m sorry i ve kept you waiting so long .,je vous ai fait attendre longtemps je vous prie de m excuser .
he is after a better job .,il est a la recherche d un meilleur boulot .
i m more beautiful than you .,je suis plus belle que vous .
you re not in charge .,ce n est pas toi qui dirige .
i m glad you realize that .,je me rejouis que vous en preniez conscience .
i m so sorry . i didn t mean to kick you .,je suis vraiment desole . je n avais pas l intention de vous donner un coup de pied .
we re listening to the radio .,nous sommes en train d ecouter la radio .
he is the last man to do such a thing .,c est le dernier homme a faire une chose pareille .
you re disgusting !,t es degueulasse !
you re shivering .,tu frissonnes .
you re reliable .,tu es fiable .
i m going to paris in the fall .,je vais a paris a l automne .
he s angry at the world .,il est en colere apres le monde .
i m tired of being careful .,j en ai marre d etre prudent .
i am very tired from the hard work .,je suis tres fatigue par le dur labeur .
we re very grateful .,nous sommes tres reconnaissants .
i m not very patient .,je ne suis pas tres patiente .
you re not in a hurry are you ?,vous n etes pas presse n est ce pas ?
i m honest .,je suis honnete .
i m sorry i hurt tom .,je suis desole d avoir blesse tom .
you re not going to win .,vous n allez pas gagner .
i m starting to go bald .,je commence a perdre mes cheveux .
we re safe for now .,nous sommes en securite pour l instant .
you re young and strong .,tu es jeune et fort .
they re harmless .,ils sont inoffensifs .
i m too busy .,je suis trop occupee .
i m not particularly worried .,je ne suis pas particulierement soucieux .
we re not free yet .,nous ne sommes pas encore libres .
you re not expecting me to help you are you ?,tu ne t attends pas a ce que je t aide n est ce pas ?
we re people like everybody else .,nous sommes des gens comme les autres .
i m a father .,je suis papa .
i m sure of his success .,je suis sur de son succes .
he s not good at remembering names .,il n est pas doue pour retenir les noms .
i m sorry i shot you .,je suis desolee de vous avoir tire dessus .
i am no longer a child .,je ne suis plus un enfant .
i m not hungry anyway .,je n ai pas faim de toutes manieres .
you are free to leave any time you wish .,tu es libre de partir quand il te plaira .
i m not sure .,je n en suis pas certain .
i m taking pictures of the bridge .,je prends des photos du pont .
i m thinking of becoming a nun .,je songe a devenir s ur .
i m sure this can wait .,je suis sur que ceci peut attendre .
i m sorry if i frightened you .,je suis desolee si je t ai effrayee .
i m never late for anything .,je ne suis jamais en retard pour quoi que ce soit .
they re both in love with the same guy .,elles sont toutes deux amoureuses du meme type .
i am proud to work with you .,je suis fier de travailler avec vous .
i m untalented .,je n ai pas de talent .
they re asleep .,elles sont endormies .
i m gullible .,je suis credule .
she s worried about your safety .,elle est inquiete de ta securite .
i m going to australia to visit my family for christmas .,je vais aller en australie pour rendre visite a ma famille pour noel .
you re making a big mistake .,tu commets une grosse erreur .
he is afraid of his father .,il a peur de son pere .
she is graceful .,elle est gracieuse .
she s a beauty .,elle est tres belle .
i m trying to find a lawyer to handle my case .,j essaye de trouver un avocat pour s occuper de mon affaire .
i m the boss .,je suis le patron .
you re absolutely right .,tu as parfaitement raison .
we re looking for a friend of ours .,nous cherchons l un de nos amis .
i m caught in traffic .,je suis coince dans la circulation .
i m chicken .,j ai les chocottes .
i am responsible for her protection .,je suis responsable de sa protection .
we re not open .,nous ne sommes pas ouvertes .
i m a tourist too .,je suis egalement touriste .
i m concerned for my kids .,je suis inquiet pour mes enfants .
he is giving me a hard time .,il est casse couilles avec moi .
he is having coffee now .,a l instant il est en train de boire du cafe .
he is eager to become famous .,il est avide de gloire .
i m fascinated by cats .,je suis fascine par les chats .
we re going to keep smiling .,nous allons continuer a sourire .
you re too hard on yourself .,tu es trop dure avec toi .
i m mary tom s sister .,je suis marie la s ur de tom .
he is very sociable .,il est tres sociable .
you re pulling my leg .,tu me fais marcher .
you re driving me nuts .,vous me rendez fou .
we are bound to each other by a close friendship .,une amitie etroite nous lie .
he is always willing to help others .,il se fait toujours une joie d aider les autres .
i am tired of hearing you moan and groan .,j en ai assez de t entendre gemir et maugreer .
you re charming .,tu es charmante .
you aren t ready yet are you ?,vous n etes pas encore prets n est ce pas ?
they re all thieves .,ce sont toutes des voleuses .
we re not sure .,nous n en sommes pas surs .
you re no fun anymore .,tu n es plus amusante .
you are entitled to your opinion .,vous avez droit a votre opinion .
you are early .,tu es en avance .
i m always forgetting people s names .,j oublie toujours le nom des gens .
i am writing a letter .,j ecris une lettre .
we re all friends .,nous sommes tous amis .
you re my kind of gal .,t es mon type de gonzesse .
i am looking for a job near my house .,je cherche un emploi pres de chez moi .
i m halfway through this crime novel .,je suis a la moitie de ce roman policier .
i m too old for that .,je suis trop vieux pour ca .
i m sure tom doesn t think that .,je suis sure que tom ne pense pas cela .
i m not one of your soldiers .,je ne suis pas un de tes soldats .
you re afraid that i m right aren t you ?,vous avez peur que j aie raison n est ce pas ?
he s addicted .,il est drogue .
they re not here yet .,elles ne sont pas encore la .
she s not invited to parties .,on ne l invite pas aux fetes .
you re missing the point .,tu ne saisis pas .
we re on our way home .,nous sommes sur le chemin de la maison .
i am hungry because i did not eat lunch .,j ai faim car je n ai pas dejeune .
she s at the hotel now .,elle est maintenant a l hotel .
you re sitting in my seat .,vous etes assis a ma place .
i m so happy to meet you .,je suis si heureux de te rencontrer .
i m the one who takes out the garbage .,je suis celui qui sort les poubelles .
he s my new friend .,c est mon nouvel ami .
you aren t one of us .,vous n etes pas l un des notres .
i m sure that s wrong .,je suis sur que c est mal .
he is not in .,il n est pas chez lui .
i m staying over at my friend s place .,je passe la nuit chez mon amie .
we re finally alone .,nous sommes enfin seuls .
i m thorough .,je suis consciencieux .
they re spies .,ce sont des espions .
you re very kind tom .,vous etes tres gentil tom .
i m glad i invited you .,je suis heureux de vous avoir invite .
you are not our friend .,tu n es pas notre amie .
i m going to need some more time .,je vais avoir besoin de davantage de temps .
they re not following .,ils ne sont pas en train de suivre .
you are expecting too much of her .,tu attends trop d elle .
you re not ready yet are you ?,tu n es pas encore prete n est ce pas ?
i m not here to hurt you .,je ne suis pas ici pour te faire du mal .
they are all very hungry .,elles ont toutes tres faim .
you re not satisfied are you ?,tu n es pas content si ?
i am ashamed about what happened yesterday .,j ai honte de ce qui s est passe hier .
we re not proud of it .,nous n en sommes pas fiers .
you re not dead yet .,vous n etes pas encore morte .
we re all going home .,nous allons tous chez nous .
they are not at all interested .,ils ne sont pas du tout interesses .
we re all having lunch .,nous sommes tous en train de dejeuner .
he s a world class scientist .,c est un scientifique de niveau international .
i m as curious as you are .,je suis aussi curieux que toi .
i m not a very good singer .,je ne suis pas tres bon chanteur .
you are curious aren t you ?,vous etes curieuse n est ce pas ?
i m baking !,je cuis !
you re famous .,vous etes connus .
i am surprised that she refused such a good offer .,je suis etonne qu elle ait refuse une si bonne offre .
i m very glad to see you .,je suis tres heureux de vous voir .
he s addicted to heroin .,il est accro a l hero .
he is an aggressive person .,c est une personne agressive .
i m sorry i don t have change .,je regrette je n ai pas de monnaie .
i am interested in swimming .,je m interesse a la natation .
he s a talented young director .,c est un jeune directeur plein de talent .
you re successful .,tu as reussi .
you re charming .,vous etes charmantes .
i m not proud of it .,je n en suis pas fier .
i am acting for my father .,j agis pour mon pere .
i m not going to name names .,je ne vais pas citer de noms .
he s working on it .,il y travaille .
i m perfectly happy .,je suis parfaitement heureuse .
i m mad at both of you .,je suis furieux contre vous deux .
you aren t replaceable .,tu n es pas remplacable .
they are all very happy .,elles sont toutes tres heureuses .
i m still here .,je suis encore ici .
i m sorry if i offended anyone .,si j ai offusque quelqu un je m en excuse .
i m not completely naive .,je ne suis pas completement naif .
they re going to try .,elles vont essayer .
he s in pain .,il souffre .
i m on my way .,je suis en chemin .
i m glad to hear that .,je suis heureux d entendre cela .
we re not supposed to do that .,nous ne sommes pas censes faire cela .
i m sorry that i ve made you so unhappy .,je suis desolee de t avoir rendu si malheureux .
i m sorry but i already have a boyfriend .,je suis desolee mais j ai deja un petit ami .
he s always worrying about his daughter .,il se fait tout le temps du souci au sujet de sa fille .
we re meditating .,nous sommes en train de mediter .
you re my boss .,tu es ma patronne .
i m buying the tickets .,j achete les billets .
i m not always at home on sundays .,je ne suis pas toujours chez moi le dimanche .
you re kind .,tu es gentille .
i m going home now .,je vais a la maison maintenant .
i m in a hurry so i ll make this quick .,je suis presse alors je vais faire vite .
i m too .,j ai egalement dix sept ans .
i m really flattered to hear that .,je suis tres flatte d entendre cela .
i m a very very happy man .,je suis un homme tres tres heureux .
i m a careful man .,je suis un homme prudent .
he s writing his diary .,il ecrit son journal .
you re worse than tom .,tu es pire que tom .
i m sorry for interrupting .,je suis desolee de vous interrompre .
i am a runner .,je suis un coureur .
you re the only person i can trust .,tu es la seule personne en qui j ai confiance .
we re very busy .,nous sommes tres occupees .
i m not a drug addict .,je ne suis pas une droguee .
you re too laid back .,tu es trop decontracte .
we re all done .,nous en avons completement fini .
she is no less beautiful than her mother .,elle n est pas moins belle que sa mere .
he is beyond help .,il n y a rien a en tirer .
i m not allowed to talk .,je ne suis pas autorisee a discuter .
you re an idealist .,tu es un idealiste .
i m supposed to go .,je suis suppose y aller .
he s a bit shy .,il est quelque peu timide .
i m sure you did what you thought was the right thing to do .,je suis sur que vous avez fait ce que vous pensiez etre la chose a faire .
we re french speakers .,nous sommes francophones .
i m sorry if i embarrassed you .,je suis desolee si je vous ai embarrassee .
he is her friend .,il est son ami .
you re being weird .,t es pas normal .
i m glad i could help out .,je suis content d avoir pu aider .
you re with friends .,vous etes avec des amies .
i m surprised to see you here .,je suis surpris de vous voir ici .
i m used to the smell .,je suis habitue a l odeur .
i m not against people owning guns .,je ne suis pas oppose a ce que les gens possedent des armes .
you re not really a millionaire are you ?,tu n es pas vraiment millionnaire si ?
i m voting no .,je vote non .
i m lying on the grass .,je suis allongee dans l herbe .
i am at a loss for words .,je ne trouve pas les mots .
you aren t going to cry are you ?,tu ne vas pas te mettre a pleurer si ?
they re very busy .,ils sont tres occupes .
we re moving .,nous sommes en train de bouger .
you re not allowed to go into that room .,vous n etes pas autorises a aller dans cette piece .
i m not ready yet .,je ne suis pas encore pret .
we re experienced .,nous avons de l experience .
you re a problem .,tu es un probleme .
i m sick of eating fish .,j en ai marre de manger du poisson .
you re conscientious .,tu es consciencieuse .
i m sorry to always be bothering you .,je suis desolee de toujours t embeter .
i m sure i can do better .,je suis certain de pouvoir faire mieux .
he is very young .,il est tres jeune .
i m not interested in your problems .,je ne suis pas interessee par vos problemes .
i m surprised to see you .,je suis etonne de vous voir .
i m a stranger here .,je suis un etranger ici .
i m listening to country music .,j ecoute de la musique country .
you re one of them aren t you ?,vous etes l une d elles n est ce pas ?
